Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,mean_points,max_points,min_points,pointclouds,velocities
142.4,221,0,0,,91,"[x: 9.028799057006836
y: 3.199570417404175
z: 0.0]",[],[],[],"[x: -0.10968349874019623
y: -0.04867782071232796
z: 0.0]"
142.6,222,0,0,,93,"[x: 9.006962776184082
y: 3.189610481262207
z: 0.0]",[],[],[],"[x: -0.10868814587593079
y: -0.05086145177483559
z: 0.0]"
142.8,223,0,0,,95,"[x: 8.985331535339355
y: 3.179216146469116
z: 0.0]",[],[],[],"[x: -0.1076493188738823
y: -0.053024739027023315
z: 0.0]"
143.0,224,0,0,,97,"[x: 8.963912010192871
y: 3.168390989303589
z: 0.0]",[],[],[],"[x: -0.10656744241714478
y: -0.0551668219268322
z: 0.0]"
143.2,225,0,0,,99,"[x: 8.942712783813477
y: 3.157140016555786
z: 0.0]",[],[],[],"[x: -0.10544295608997345
y: -0.05728684365749359
z: 0.0]"
143.4,226,0,0,,101,"[x: 8.921743392944336
y: 3.1454672813415527
z: 0.0]",[],[],[],"[x: -0.10427629202604294
y: -0.05938395485281944
z: 0.0]"
143.6,227,0,0,,103,"[x: 8.90101146697998
y: 3.1333773136138916
z: 0.0]",[],[],[],"[x: -0.10306792706251144
y: -0.0614573173224926
z: 0.0]"
143.8,228,0,0,,105,"[x: 8.880526542663574
y: 3.120875597000122
z: 0.0]",[],[],[],"[x: -0.10181833803653717
y: -0.0635060966014862
z: 0.0]"
144.0,229,0,0,,107,"[x: 8.860296249389648
y: 3.107966661453247
z: 0.0]",[],[],[],"[x: -0.1005280390381813
y: -0.0655294805765152
z: 0.0]"
144.2,230,0,0,,109,"[x: 8.840326309204102
y: 3.0946555137634277
z: 0.0]",[],[],[],"[x: -0.09919752925634384
y: -0.06752666085958481
z: 0.0]"
144.4,231,0,0,,111,"[x: 8.820626258850098
y: 3.0809485912323
z: 0.0]",[],[],[],"[x: -0.09782735258340836
y: -0.06949683278799057
z: 0.0]"
144.6,232,0,0,,113,"[x: 8.801203727722168
y: 3.0668487548828125
z: 0.0]",[],[],[],"[x: -0.09641803801059723
y: -0.0714392140507698
z: 0.0]"
144.8,233,0,0,,115,"[x: 8.782069206237793
y: 3.0523672103881836
z: 0.0]",[],[],[],"[x: -0.09497017413377762
y: -0.07335301488637924
z: 0.0]"
145.0,234,0,0,,117,"[x: 8.763226509094238
y: 3.037504196166992
z: 0.0]",[],[],[],"[x: -0.09348432719707489
y: -0.07523749023675919
z: 0.0]"
145.2,235,0,0,,119,"[x: 8.744683265686035
y: 3.022265672683716
z: 0.0]",[],[],[],"[x: -0.0919610932469368
y: -0.07709187269210815
z: 0.0]"
145.4,236,0,0,,121,"[x: 8.726449966430664
y: 3.006659984588623
z: 0.0]",[],[],[],"[x: -0.09040108323097229
y: -0.07891542464494705
z: 0.0]"
145.6,237,0,0,,123,"[x: 8.708532333374023
y: 2.990692377090454
z: 0.0]",[],[],[],"[x: -0.08880492299795151
y: -0.08070740848779678
z: 0.0]"
145.8,238,0,0,,125,"[x: 8.690938949584961
y: 2.974370241165161
z: 0.0]",[],[],[],"[x: -0.08717323839664459
y: -0.08246712386608124
z: 0.0]"
146.0,239,0,0,,127,"[x: 8.673673629760742
y: 2.9576995372772217
z: 0.0]",[],[],[],"[x: -0.08550669252872467
y: -0.08419385552406311
z: 0.0]"
