#{"t_start": 1614212011.7333984, "env_id": null}
r,l,t,done_reason,is_success
15.60236,258,30122.200337,2,1
15.34209,132,30123.616574,2,1
15.99857,313,30126.811644,2,1
16.10627,426,30131.151907,2,1
15.08836,208,30133.303817,2,1
15.29184,117,31681.770463,2,1
15.44211,164,31683.471334,2,1
15.58684,290,31686.456929,2,1
-20.19279,83,31687.341919,1,0
-21.81294,130,31688.715378,1,0
-20.51525,165,31690.425533,1,0
1.40367,651,31697.005432,0,0
-21.40318,172,31698.800935,1,0
-20.37183,365,31702.510517,1,0
15.89838,301,31705.596128,2,1
15.26529,104,31706.696954,2,1
-21.39023,116,31707.925696,1,0
-20.43096,88,31708.860437,1,0
15.11374,62,31709.531231,2,1
15.43472,298,31712.57573,2,1
15.3164,190,31714.531415,2,1
15.68045,313,31717.746844,2,1
15.08748,82,31718.6165,2,1
-20.20408,95,31719.627589,1,0
15.66052,246,31722.148071,2,1
15.22847,304,31725.261845,2,1
15.75747,540,31730.746942,2,1
-25.55282,321,31734.026819,1,0
15.44573,161,31735.710462,2,1
-20.12061,92,31736.685382,1,0
-21.70988,299,31739.730376,1,0
-20.27224,226,31742.070482,1,0
-19.59409,333,31745.480621,1,0
15.26497,490,31750.455676,2,1
15.25357,115,31751.66657,2,1
0.47345,651,31758.331329,0,0
15.61603,357,31761.985425,2,1
15.63739,220,31764.245342,2,1
-20.80268,169,31765.985411,1,0
-21.44882,341,31769.455355,1,0
15.28776,350,31773.041268,2,1
14.9041,194,31775.030455,2,1
15.74346,370,31778.800866,2,1
0.00291,651,31785.370625,0,0
14.8054,139,31786.820425,2,1
15.0817,86,33328.180172,2,1
15.84769,439,33332.645187,2,1
15.15038,111,33333.800124,2,1
15.51516,218,33336.030328,2,1
-21.60289,122,33337.311219,1,0
15.10937,95,33338.306988,2,1
15.29491,119,33339.546793,2,1
15.84944,404,33343.647943,2,1
17.87043,551,33349.23722,2,1
15.06978,51,33349.792479,2,1
15.11661,73,33350.572109,2,1
17.44117,499,33355.62729,2,1
15.18772,133,33357.01207,2,1
16.50803,289,33359.957198,2,1
15.98204,267,33362.67703,2,1
15.44507,351,33366.253144,2,1
15.75775,284,33369.153182,2,1
16.66155,418,33373.388176,2,1
16.9259,478,33378.307448,2,1
15.70758,284,33381.227352,2,1
16.11857,366,33384.973223,2,1
15.57695,217,33387.192575,2,1
15.60092,252,33389.783227,2,1
15.24928,194,33391.783164,2,1
15.18297,190,33393.766098,2,1
15.32968,135,33395.170227,2,1
-21.37695,68,33395.910218,1,0
15.72769,240,33398.360397,2,1
14.14928,310,33401.515518,2,1
15.3465,400,33405.581054,2,1
-19.62333,533,33411.000718,1,0
0.06342,651,33417.590849,0,0
16.29546,340,33421.046209,2,1
15.87835,333,33424.510737,2,1
16.4913,322,33427.79091,2,1
15.37648,154,33429.409441,2,1
15.5936,268,33432.139327,2,1
15.67737,250,33434.689461,2,1
14.93527,120,33435.93434,2,1
